"Hostname","IP","Timestamp","OS","OS Version","MAC Address","Received Bytes","Transmited Bytes","Total Flows","Received Packets","Transmited Packets"
"","172.16.10.131","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.154","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.134","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.52","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.103","2020-07-20T00:00:00.000Z","","","","261000","261000","771","2900","2900"
"","172.16.55.52","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.47","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.13","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.109","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.76","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.140","2020-07-20T00:00:00.000Z","","","","4500","4500","50","50","50"
"","172.16.17.51","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.128","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.2","2020-07-20T00:00:00.000Z","","","","709188","495132","5314","7066","7066"
"","172.16.10.202","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.17","2020-07-20T00:00:00.000Z","","","","30536","36532","108","364","476"
"","172.16.254.126","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.255.255","2020-07-20T00:00:00.000Z","","","","144820","0","462","888","0"
"","172.16.10.5","2020-07-20T00:00:00.000Z","","","","4741133","3645454","44065","44119","44119"
"","172.16.10.101","2020-07-20T00:00:00.000Z","","","","260640","260640","783","2896","2896"
"","172.16.50.109","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.56","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.105","2020-07-20T00:00:00.000Z","","","","4230","4230","47","47","47"
"","172.16.254.118","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.71","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.231","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.153","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"ito-test2","172.16.254.102","2020-07-20T00:00:00.000Z","CentOS","7.2","00:50:56:80:2d:76","2145516","3447697","4587","20741","30769"
"","172.16.0.50","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.16","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.73","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.203","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"addns","172.16.17.18","2020-07-20T00:00:00.000Z","MSServer2012R2Standard","","00:50:56:80:e2:09","40513354","45435382","338591","412565","411321"
"","172.16.50.51","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.127","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.46","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.72","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.152","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"SANOMURA-M-D0G9","172.16.254.5","2020-07-20T00:00:00.000Z","MacOSX","10.14.6","","0","0","0","0","0"
"","172.16.254.101","2020-07-20T00:00:00.000Z","","","","11747","65035","391","99","736"
"","172.16.2.20","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.199.121","2020-07-20T00:00:00.000Z","","","","1044","948","12","12","12"
"","172.16.0.37","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.111","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.150","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.3","2020-07-20T00:00:00.000Z","","","","48139","37040","324","314","434"
"","172.16.50.152","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.132","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.14","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.62","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.115","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"ito-test1","172.16.254.103","2020-07-20T00:00:00.000Z","CentOS","7.2","00:50:56:80:0e:94","3556643","10753474","2033","30001","38112"
"","172.16.0.43","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.105","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.121","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.58","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.3","2020-07-20T00:00:00.000Z","","","","4020146","3168938","39858","39885","39885"
"","172.16.10.99","2020-07-20T00:00:00.000Z","","","","260730","260730","728","2897","2897"
"","172.16.0.51","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.17","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.92","2020-07-20T00:00:00.000Z","","","","4590","4590","46","51","51"
"","172.16.50.164","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.151","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"NOISHII-M-X2JB","172.16.254.4","2020-07-20T00:00:00.000Z","MacOSX","10.15.5","","0","0","0","0","0"
"","172.16.17.101","2020-07-20T00:00:00.000Z","","","","2610","1422","18","18","18"
"","172.16.254.18","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.93","2020-07-20T00:00:00.000Z","","","","4680","4680","47","52","52"
"","172.16.50.165","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.60","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.109","2020-07-20T00:00:00.000Z","","","","4230","4230","47","47","47"
"","172.16.254.122","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.131","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.11","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.59","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.45","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.75","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.1","2020-07-20T00:00:00.000Z","","","","5243488","3920396","45268","45324","45324"
"","172.16.10.201","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.112","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.125","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.255.254","2020-07-20T00:00:00.000Z","","","","12996","18000","360","38","50"
"","172.16.0.35","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.13","2020-07-20T00:00:00.000Z","","","","8120","4503","57","56","57"
"","172.16.254.1","2020-07-20T00:00:00.000Z","","","","41626","42999","352","270","380"
"","172.16.77.1","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.162","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.48","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.1","2020-07-20T00:00:00.000Z","","","","6432","3552","48","48","48"
"","172.16.254.14","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.110","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.142","2020-07-20T00:00:00.000Z","","","","4230","4230","47","47","47"
"","172.16.17.53","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.130","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.201","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.153","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.133","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.14","2020-07-20T00:00:00.000Z","","","","0","109296","288","0","1728"
"","172.16.17.110","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.199.100","2020-07-20T00:00:00.000Z","","","","316","316","1","4","4"
"","172.16.254.123","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.102","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.12","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.60","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.2","2020-07-20T00:00:00.000Z","","","","4007218","3158794","39723","39757","39757"
"","172.16.17.233","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.77","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.141","2020-07-20T00:00:00.000Z","","","","4140","4140","46","46","46"
"","172.16.17.52","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.129","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.13","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.28","2020-07-20T00:00:00.000Z","","","","4535312","7687244","5065","20072","27683"
"","172.16.0.32","2020-07-20T00:00:00.000Z","","","","9180","9180","102","102","102"
"","172.16.10.10","2020-07-20T00:00:00.000Z","","","","6507214","73290817","5623","9166","57713"
"","172.16.10.106","2020-07-20T00:00:00.000Z","","","","260370","260370","772","2893","2893"
"","172.16.50.114","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.53","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.191","2020-07-20T00:00:00.000Z","","","","4716","2640","32","32","32"
"","172.16.17.102","2020-07-20T00:00:00.000Z","","","","2900","1580","20","20","20"
"TAISHII-M-46FM","172.16.254.19","2020-07-20T00:00:00.000Z","MacOSX","10.14.6","","0","0","0","0","0"
"","172.16.254.115","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.4","2020-07-20T00:00:00.000Z","","","","3869144","2977190","35984","36019","36019"
"","172.16.10.100","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.108","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.219","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.12","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.108","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.147","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.58","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.11","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.107","2020-07-20T00:00:00.000Z","","","","4230","4230","47","47","47"
"","172.16.0.30","2020-07-20T00:00:00.000Z","","","","236954","175565","1876","1695","1876"
"","172.16.10.104","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.91","2020-07-20T00:00:00.000Z","","","","4680","4680","47","52","52"
"","172.16.50.163","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.53","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.36","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.14","2020-07-20T00:00:00.000Z","","","","4590","4590","46","51","51"
"","172.16.254.2","2020-07-20T00:00:00.000Z","","","","94433","76147","656","654","791"
"","172.16.0.49","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.15","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.136","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.54","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.31","2020-07-20T00:00:00.000Z","","","","5490","5490","61","61","61"
"","172.16.10.105","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.113","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.54","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.192","2020-07-20T00:00:00.000Z","","","","6494","3644","44","44","44"
"","172.16.17.103","2020-07-20T00:00:00.000Z","","","","2320","1264","16","16","16"
"TNAKAZAW-M-246E","172.16.254.20","2020-07-20T00:00:00.000Z","MacOSX","10.15.3","","0","0","0","0","0"
"","172.16.254.116","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.33","2020-07-20T00:00:00.000Z","","","","9540","9540","105","106","106"
"","172.16.10.11","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.107","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.16.17","2020-07-20T00:00:00.000Z","","","","4590","4590","46","51","51"
"","172.16.50.115","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.57","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.106","2020-07-20T00:00:00.000Z","","","","4230","4230","47","47","47"
"","172.16.254.119","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.59","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.108","2020-07-20T00:00:00.000Z","","","","4140","4140","46","46","46"
"","172.16.50.104","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.206","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.138","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.55","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.193","2020-07-20T00:00:00.000Z","","","","5296","2956","36","36","36"
"","172.16.17.104","2020-07-20T00:00:00.000Z","","","","2320","1264","16","16","16"
"","172.16.254.117","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.137","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.70","2020-07-20T00:00:00.000Z","","","","6264","3952","46","46","46"
"","172.16.10.1","2020-07-20T00:00:00.000Z","","","","4003986","3156258","39695","39725","39725"
"","172.16.17.232","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.105","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.132","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.155","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.135","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.55","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.103","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.44","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.118","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.106","2020-07-20T00:00:00.000Z","","","","0","36516","68","0","136"
"","172.16.10.200","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.111","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.124","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.6","2020-07-20T00:00:00.000Z","","","","4739965","3644528","44055","44108","44108"
"","172.16.10.102","2020-07-20T00:00:00.000Z","","","","260730","260730","741","2897","2897"
"","172.16.17.141","2020-07-20T00:00:00.000Z","","","","55010","31760","191","383","384"
"","172.16.50.110","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.55.51","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.104","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
